filename	caseID	cite	description	date	type	position
Case_6000_001	6000	1976 WL 178777 	 Brief for the Lawyers' Committee for Civil Rights Under Law as Amicus Curiae 	Jun. 1976	Amicus Curiae	undeclared
Case_6000_002	6000	1976 WL 178774 	 Brief of American Subcontractors Association, Amicus Curiae in Support of Respondent 	Aug. 1976	Amicus Curiae	Respondent
Case_6000_003	6000	1976 WL 181283 	 Brief of Amercian Subcontractors Association, Amicus Curiae in Support of Respondent 	Oct. Term 1976	Amicus Curiae	Respondent
Case_6000_004	6000	1976 WL 181282 	 Brief of Amicus Curiae Young Americans for Freedom 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_005	6000	1976 WL 181281 	 Brief of Amici Curiae Mexican American Legal Defense and Educational Fund, La Raza National Lawyers Assn., County of Santa Clara, Calif., League of United Latin American Citizens, G.I. Forum, National Council of La Raza, Los Angeles Mecha Central, Im age, National Association for Equal Educational Opportunity, Association of Mexican American Educators, John Vasconcellos, Unitas 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_006	6000	1976 WL 181280 	 Brief on Behalf of the American Medical Student Association as Amicus Curiae 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_007	6000	1976 WL 181279 	 Brief of the National Employment Law Project, Inc., as Amicus Curiae 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_008	6000	1976 WL 181278 	 Brief of Columbia University, Harvard University, Stanford University and the University of Pennsylvania as Amici Curiae 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_009	6000	1976 WL 181277 	 Brief of the American Association of University Professors, Amicus Curiae 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_010	6000	1976 WL 181276 	 Price M. Cobbs, M.D., Ephraim Kahn, M.D., et al., to File Brief Amici Curiae and Brief of Amici Curiae. 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_011	6000	1976 WL 178776 	 Brief of the Society of American Law Teachers, Amicus Curiae 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_012	6000	1976 WL 178775 	 Brief of the State of Washington and the University of Washington as Amicus Curiae 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_013	6000	1976 WL 178773 	 Brief of the National Association for the Advancement of Colored People as Amicus Curiae 	Oct. Term 1976	Amicus Curiae	undeclared
Case_6000_014	6000	1977 WL 188019 	 Brief of the National Employment Law Project, Inc., as Amicus Curiae 	1977	Amicus Curiae	undeclared
Case_6000_015	6000	1977 WL 188005 	 Brief of Amicus Curiae the National Conference of Black Lawyers 	1977	Amicus Curiae	undeclared
Case_6000_016	6000	1977 WL 189479 	 Brief of Amici Curiae for The National Urban League; the National Organization for Women NOW ; the United Automobile, Aerospace, and Agricultural Implement Workers of America UAW ; the National Conference of Black Lawyers; the La Raza National Lawy ers Association; the Mexican American Legal Defense and Educational Fund; the Puerto Rican Legal Defense and Educational Fund; California Rural Legal Assistance, Inc.; the National Bar Association, UCLA Black Alumni Association, the National Federat	Jan. 14, 1977	Amicus Curiae	undeclared
Case_6000_017	6000	1977 WL 189483 	 Reply to Brief of Amici Curiae in Opposition to Certiorari 	Jan. 21, 1977	Litigant	petitioner
Case_6000_018	6000	1977 WL 187966 	 Reply to Brief of Amici Curiae in Opposition to Certiorari 	Jan. 21, 1977	Litigant	petitioner
Case_6000_019	6000	1977 WL 189484 	 Brief for Sanford H. Kadish, Dean of the School of Law, University of California at Berkeley; Pierre R. Loiseaux, Dean of the School of Law, University of California at Davis; William D. Warren, Dean of the School of Law, University of California at Los Angeles; Marvin J. Anderson, Dean of Hastings College of the Law, University of California, as Amici Curiae 	Feb. 14, 1977	Amicus Curiae	undeclared
Case_6000_020	6000	1977 WL 189485 	 Brief of Amici Curiae for the Committee on Academic Nondiscrimination and Integrity and the Mid-America Legal Foundation 	Feb. 16, 1977	Amicus Curiae	undeclared
Case_6000_021	6000	1977 WL 189481 	 Supplemental Memorandum of Amici Curiae For the National Conference of Black Lawyers; The National Lawyers Guild; and California Rural Legal Assistance, Inc. 	Feb. 17, 1977	Amicus Curiae	undeclared
Case_6000_022	6000	1977 WL 189488 	 Brief of Amicus Curiae Cleveland State University Chapter of the Black American Law Students Association 	Apr. 07, 1977	Amicus Curiae	undeclared
Case_6000_023	6000	1977 WL 187973 	 Brief of Amicus Curiae Cleveland State University Chapter of the Black American Law Students Association 	Apr. 07, 1977	Amicus Curiae	undeclared
Case_6000_024	6000	1977 WL 189490 	 Brief of Ralph J. Galliano as Amicus Curiae 	Apr. 28, 1977	Amicus Curiae	undeclared
Case_6000_025	6000	1977 WL 188009 	 Brief of Ralph J. Galliano as Amicus Curiae 	Apr. 28, 1977	Amicus Curiae	undeclared
Case_6000_026	6000	1977 WL 187985 	 Price M. Cobbs, M.D., Ephraim Kahn, M.D., et al., to File Brief Amici Curiae and Brief of Amici Curiae 	May. 25, 1977	Amicus Curiae	undeclared
Case_6000_027	6000	1977 WL 189503 	 Brief of the Naacp Legal Defense and Educational Fund, Inc., as Amicus Curiae 	Jun. 1977	Amicus Curiae	undeclared
Case_6000_028	6000	1977 WL 187989 	 Brief of the Fair Employment Practice Commission of the State of California, Amicus Curiae 	Jun. 01, 1977	Amicus Curiae	undeclared
Case_6000_029	6000	1977 WL 189494 	 Brief Amicus Curiae for North Carolina Association of Black Lawyers 	Jun. 02, 1977	Amicus Curiae	undeclared
Case_6000_030	6000	1977 WL 189492 	 Brief of The Black Law Students Association at the University of California, Berkeley School of Law as Amicus Curiae 	Jun. 02, 1977	Amicus Curiae	undeclared
Case_6000_031	6000	1977 WL 188013 	 Brief Amicus Curiae for North Carolina Association of Black Lawyers 	Jun. 02, 1977	Amicus Curiae	undeclared
Case_6000_032	6000	1977 WL 187974 	 Brief of The Black Law Students Association at the University of California, Berkeley School of Law as Amicus Curiae 	Jun. 02, 1977	Amicus Curiae	undeclared
Case_6000_033	6000	1977 WL 189496 	 Brief of the Society of American Law Teachers, Amicus Curiae 	Jun. 03, 1977	Amicus Curiae	undeclared
Case_6000_034	6000	1977 WL 188003 	 Brief of the NAACP Legal Defense and Educational Fund, Inc., as Amicus Curiae 	Jun. 03, 1977	Amicus Curiae	undeclared
Case_6000_035	6000	1977 WL 189505 	 Brief Amicus Curiae for the National Association of Minority Contractors and Minority Contractors Association of Northern California, Inc. in Support of Petitioner 	Jun. 04, 1977	Amicus Curiae	Petitioner
Case_6000_036	6000	1977 WL 189498 	 Brief of Amicus Curiae Asian American Bar Association of the Greater Bay Area in Support of Petitioners 	Jun. 04, 1977	Amicus Curiae	Petitioner
