filename	caseID	type
1978-98SCt2733-1	6000	judgment
1978-98SCt2733-2	6000	concurring/dissenting
1978-98SCt2733-3	6000	concurring/dissenting
1979-99SCt2721-1	6001	judgment
1979-99SCt2721-2	6001	concurring
1979-99SCt2721-3	6001	dissenting
1980-100SCt2758-1	6002	judgment
1980-100SCt2758-2	6002	concurring
1980-100SCt2758-3	6002	dissenting
1981-101SCt2211-1	6003	judgment
1981-101SCt2211-2	6003	concurring
1981-101SCt2211-3	6003	dissenting
1982-102SCt2612-1	6004	per curiam
1984-104SCt2576-1	6006	judgment
1984-104SCt2576-2	6006	concurring
1985-105SCt803-1	6007	denied
1986-106SCt1842-1	6008	judgment
1986-106SCt1842-2	6008	concurring
1986-106SCt1842-3	6008	dissenting
1986-106SCt3019-1	6010	judgment
1986-106SCt3019-2	6010	concurring/dissenting
1986-106SCt3019-3	6010	concurring/dissenting
1986-106SCt3063-1	6011	judgment
1986-106SCt3063-2	6011	concurring
1986-106SCt3063-3	6011	dissenting
1987-107SCt1053-1	6009	judgment
1987-107SCt1053-2	6009	concurring
1987-107SCt1053-3	6009	dissenting
1987-107SCt1442-1	6012	judgment
1987-107SCt1442-2	6012	concurring
1987-107SCt1442-3	6012	dissenting
1989-109SCt2180-1	6014	judgment
1989-109SCt2180-2	6014	dissenting
1989-109SCt706-1	6013	judgment
1989-109SCt706-2	6013	concurring/dissenting
1989-109SCt706-3	6013	dissenting
1990-110SCt2997-1	6015	judgment
1990-110SCt2997-2	6015	concurring
1990-110SCt2997-3	6015	dissenting
1995-115SCt2097-1	6016	judgment
1995-115SCt2097-2	6016	concurring/dissenting
1995-115SCt2097-3	6016	dissenting
1999-119SCt1349-1	6017	denied
1999-120SCt467-1	6018	per curiam
2003-123SCt2325-1	6019	judgment
2003-123SCt2325-2	6019	concurring
2003-123SCt2325-3	6019	concurring/dissenting
2003-123SCt2411-1	6020	judgment
2003-123SCt2411-2	6020	concurring
2003-123SCt2411-3	6020	dissenting
2003-124SCt556-1	6005	denied
